"Plot Title: Tank8"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10579589, SEN S/N: 10579589, LBL: Celsius)","Coupler Detached (LGR S/N: 10579589)","Coupler Attached (LGR S/N: 10579589)","Host Connected (LGR S/N: 10579589)","Stopped (LGR S/N: 10579589)","End Of File (LGR S/N: 10579589)"
183,07/19/18 09:10:00 AM,27.481,,,,,
184,07/19/18 09:15:00 AM,27.481,,,,,
185,07/19/18 09:20:00 AM,27.481,,,,,
186,07/19/18 09:25:00 AM,27.505,,,,,
187,07/19/18 09:30:00 AM,27.505,,,,,
188,07/19/18 09:35:00 AM,27.505,,,,,
189,07/19/18 09:40:00 AM,27.530,,,,,
190,07/19/18 09:45:00 AM,27.554,,,,,
191,07/19/18 09:50:00 AM,27.554,,,,,
192,07/19/18 09:55:00 AM,27.554,,,,,
193,07/19/18 10:00:00 AM,27.579,,,,,
194,07/19/18 10:05:00 AM,27.604,,,,,
195,07/19/18 10:10:00 AM,27.628,,,,,
196,07/19/18 10:15:00 AM,27.653,,,,,
197,07/19/18 10:20:00 AM,27.677,,,,,
198,07/19/18 10:25:00 AM,27.702,,,,,
199,07/19/18 10:30:00 AM,27.727,,,,,
200,07/19/18 10:35:00 AM,27.751,,,,,
201,07/19/18 10:40:00 AM,27.776,,,,,
202,07/19/18 10:45:00 AM,27.825,,,,,
203,07/19/18 10:50:00 AM,27.850,,,,,
204,07/19/18 10:55:00 AM,27.850,,,,,
205,07/19/18 11:00:00 AM,27.850,,,,,
206,07/19/18 11:05:00 AM,27.875,,,,,
207,07/19/18 11:10:00 AM,27.899,,,,,
208,07/19/18 11:15:00 AM,27.875,,,,,
209,07/19/18 11:20:00 AM,27.899,,,,,
210,07/19/18 11:25:00 AM,27.924,,,,,
211,07/19/18 11:30:00 AM,27.949,,,,,
212,07/19/18 11:35:00 AM,27.949,,,,,
213,07/19/18 11:40:00 AM,27.949,,,,,
214,07/19/18 11:45:00 AM,27.974,,,,,
215,07/19/18 11:50:00 AM,28.023,,,,,
216,07/19/18 11:55:00 AM,28.048,,,,,
217,07/19/18 12:00:00 PM,28.048,,,,,
218,07/19/18 12:05:00 PM,28.097,,,,,
219,07/19/18 12:10:00 PM,28.072,,,,,
220,07/19/18 12:15:00 PM,28.147,,,,,
221,07/19/18 12:20:00 PM,28.147,,,,,
222,07/19/18 12:25:00 PM,28.122,,,,,
223,07/19/18 12:30:00 PM,28.147,,,,,
224,07/19/18 12:35:00 PM,28.147,,,,,
225,07/19/18 12:40:00 PM,28.171,,,,,
226,07/19/18 12:45:00 PM,28.196,,,,,
227,07/19/18 12:50:00 PM,28.221,,,,,
228,07/19/18 12:55:00 PM,28.221,,,,,
229,07/19/18 01:00:00 PM,28.270,,,,,
230,07/19/18 01:05:00 PM,28.270,,,,,
231,07/19/18 01:10:00 PM,28.270,,,,,
232,07/19/18 01:15:00 PM,25.453,,,,,
233,07/19/18 01:16:51 PM,,,Logged,,,
234,07/19/18 01:16:52 PM,,,,Logged,,
235,07/19/18 01:17:02 PM,,,,,Logged,Logged
